name,right_ascension_weighted_average,declination_weighted_average,coordinate_system,Redshift of the galaxy,lensing_flag,classification,g_notes,right_ascension,declination,emitted_frequency,species,integrated_line_flux,integrated_line_flux_uncertainty_positive,integrated_line_flux_uncertainty_negative,peak_line_flux,peak_line_flux_uncertainty_positive,peak_line_flux_uncertainty_negative,line_width,line_width_uncertainty_positive,line_width_uncertainty_negative,observed_line_redshift,observed_line_redshift_uncertainty_positive,observed_line_redshift_uncertainty_negative,detection_type,observed_beam_major,observed_beam_minor,observed_beam_angle,reference,l_notes
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5638837047353755,Lensed,QSO,,213.94267916666666,11.49545,806.65,CO,50.1,2.8,2.8,,,,480.0,35.0,35.0,2.5579,0.0002,0.0002,IF,0.77,0.44,15.0,1997A&A...321...24A,"NOEMA, Using their best-fit value; no flux cal unc, no peak values"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5638837047353755,Lensed,QSO,,213.94267916666666,11.49545,921.8,CO,51.4,4.7,4.7,,,,,,,2.5590733590733588,,,SD,0.25,0.71,30.0,2009ApJ...705..112B,"CSO, FWHMs assumed, Suggests 15% unc, no peak values, no unc for obs freq"
Cloverleaf,213.9426791666666,11.495450000000003,J2000,2.5638837047353755,Lensed,QSO,,213.94267916666666,11.49545,1036.91,CO,41.8,5.8,5.8,,,,,,,2.563264604810997,,,SD,0.25,0.71,30.0,2009ApJ...705..112B,"CSO, FWHMs assumed, Suggests 15% unc, no peak values, no unc for obs freq"
SMMJ14011+0252,210.27054166666667,2.873361111111111,J2000,2.5652250000000003,Lensed,,QSO2,210.27054166666667,2.873361111111111,115.27,CO,0.32,0.04,0.04,2.08,0.22,0.22,151.0,19.0,19.0,2.5653,0.0001,0.0001,IF,0.68,0.52,119.02,2013ApJ...765....6S,"VLA, Includes 10% flux cal. unc"
SMMJ14011+0252,210.27054166666667,2.873361111111111,J2000,2.5652250000000003,Lensed,,QSO2,210.27054166666667,2.873361111111111,115.27,CO,0.4,0.05,0.05,1.85,0.2,0.2,,,,2.5652,0.0002,0.0002,SD,,,,2010ApJ...723.1139H,"GBT, Couldn't quite fit the line so flux is approx; suggests <20% flux cal unc; not included, FWHM marked as <208 unsure how many sigma, no beam size and angle"
SMMJ14011+0252,210.27054166666667,2.873361111111111,J2000,2.5652250000000003,Lensed,,QSO2,210.27054166666667,2.873361111111111,345.8,CO,2.4,0.3,0.3,,,,200.0,40.0,40.0,2.5653,0.0003,0.0003,IF,6.5,4.3,-26.0,1999ApJ...514L..13F,"Owens Valley Millimeter Array, Rec 15% flux cal unc; assume not included, no peak values"
SMMJ14011+0252,210.27054166666667,2.873361111111111,J2000,2.5652250000000003,Lensed,,QSO2,210.27054166666667,2.873361111111111,345.8,CO,2.8,0.3,0.3,13.2,1.0,1.0,190.0,11.0,11.0,2.5652,0.0001,0.0001,IF,,,,2003ApJ...582...37D,"IRAM interferometer, No mention of flux cal unc; assumed included, beam size and angle hard to determine"
SMMJ14011+0252,210.27054166666667,2.873361111111111,J2000,2.5652250000000003,Lensed,,QSO2,210.27054166666667,2.873361111111111,806.65,CO,3.2,0.5,0.5,12.4,3.0,3.0,170.0,30.0,30.0,2.5651,0.0002,0.0002,IF,,,,2003ApJ...582...37D,"IRAM interferometer, No mention of flux cal unc; assumed included, beam size and angle hard to determine"
PSSJ2322+1944,350.5299434523809,19.739629365079367,J2000,4.119091428571428,Lensed,QSO,,350.5298375,19.739694444444446,115.27,CO,0.165,0.014,0.014,0.77,0.07,0.07,202.0,17.0,17.0,4.1173,0.0003,0.0003,SD,,,,2006ApJ...650..604R,"GBT; recommend flux cal unc 10-15%, not folded in, 'The beam size of the GBT at our observing frequencies is ~32-36"".', no beam angle"
PSSJ2322+1944,350.5299434523809,19.739629365079367,J2000,4.119091428571428,Lensed,QSO,,350.5298375,19.739694444444446,115.27,CO,0.19,0.08,0.08,0.89,0.22,0.22,200.0,70.0,70.0,4.1192,0.0004,0.0004,IF,,,,2006ApJ...650..604R,"VLA, Includes 10% flux cal unc, no beam size and angle (has FWHM beam size and angle values?)"
PSSJ2322+1944,350.5299434523809,19.739629365079367,J2000,4.119091428571428,Lensed,QSO,,350.5298375,19.739694444444446,115.27,CO,0.25,0.06,0.06,1.29,0.26,0.26,184.0,46.0,46.0,4.1184,0.0008,0.0008,SD,,,,2006ApJ...650..604R,"Effelsberg; recommend 15% flux cal unc, not folded in, 'At 40"" beam size, the pointing accuracy, as determined by continuum cross scans of nearby sources, was better than 10"", with typical values of 5"".', no beam angle"
PSSJ2322+1944,350.5299434523809,19.739629365079367,J2000,4.119091428571428,Lensed,QSO,,350.5298375,19.739694444444446,230.54,CO,0.92,0.3,0.3,2.7,0.24,0.24,280.0,,,4.1191,,,IF,,,,2006ApJ...650..604R,"VLA, Includes 10% flux cal unc; no line width in 2002a, one given in 2003 but w/o unc, 'heliocentric redshift' no unc, no beam size and angle (has FWHM beam size and angle values?)"
PSSJ2322+1944,350.5299434523809,19.739629365079367,J2000,4.119091428571428,Lensed,QSO,,350.5298375,19.739694444444446,461.04,CO,3.83,0.4,0.4,10.3,,,348.0,40.0,40.0,4.12,0.0002,0.0002,IF,,,,2004A&A...428L..21P,"Reprocessed from Cox+2002; no mention of flux cal unc, assumed included, no peak value unc, 'beam of 4.8""×2.1"" at 1.3 mm and 6.2""×4.9"" at 3.2 mm.' from Cox 2002 unsure which one, no beam angle"
PSSJ2322+1944,350.5299434523809,19.739629365079367,J2000,4.119091428571428,Lensed,QSO,,350.53020833333335,19.73946666666667,461.04,CO,4.21,0.4,0.4,10.5,,,375.0,41.0,41.0,4.1199,0.0008,0.0008,IF,,,,2002A&A...387..406C,"No z-unc given; no mention of flux cal unc; assume not incl, no peak value unc, 'beam of 4.8""×2.1"" at 1.3 mm and 6.2""×4.9"" at 3.2 mm.' unsure which one, no beam angle"
PSSJ2322+1944,350.5299434523809,19.739629365079367,J2000,4.119091428571428,Lensed,QSO,,350.53020833333335,19.73946666666667,576.27,CO,3.74,0.56,0.56,12.0,,,273.0,50.0,50.0,4.1199,0.0008,0.0008,IF,,,,2002A&A...387..406C,"No z-unc given; no mention of flux cal unc; assume not incl, no peak value unc, 'beam of 4.8""×2.1"" at 1.3 mm and 6.2""×4.9"" at 3.2 mm.' unsure which one, no beam angle"
